run_id,evaluator_id,packet_id,replicate_id,arrangement_id,nickname_a,condition_a,position_a,nickname_b,condition_b,position_b,preferred_nickname,preferred_condition,reason
run-2026-05-01-D003,E1,packet_014181e57a,R3,A4,Ivory,C5,2,Quartz,C4,1,Ivory,C5,Ivory is slightly more natural and better calibrated while matching Quartz on core fidelity and preserving all key uncertainty limits.
run-2026-05-01-D003,E1,packet_014181e57a,R3,A4,Ivory,C5,2,Summit,C1,3,Ivory,C5,"Ivory provides fuller coverage of methods, lineage data, organoid phenotypes, and disease associations while remaining equally cautious."
run-2026-05-01-D003,E1,packet_014181e57a,R3,A4,Ivory,C5,2,Lantern,C2,4,Ivory,C5,Ivory has stronger scientific article structure and less interpretive drift while retaining the same key mechanistic content.
run-2026-05-01-D003,E1,packet_014181e57a,R3,A4,Ivory,C5,2,Meadow,C3,5,Ivory,C5,"Ivory is more complete and precise, especially on mechanistic uncertainty and the evidence boundaries around repair and disease."
run-2026-05-01-D003,E1,packet_014181e57a,R3,A4,Quartz,C4,1,Summit,C1,3,Quartz,C4,"Quartz gives a more complete article-like reconstruction with abstract, methods, results, and discussion while maintaining high fidelity."
run-2026-05-01-D003,E1,packet_014181e57a,R3,A4,Quartz,C4,1,Lantern,C2,4,Quartz,C4,"Quartz is better structured and more constraint-aligned, whereas Lantern is a long narrative with somewhat more interpretive language."
run-2026-05-01-D003,E1,packet_014181e57a,R3,A4,Quartz,C4,1,Meadow,C3,5,Quartz,C4,Quartz covers the dossier more comprehensively and marks uncertainty at least as well as Meadow.
run-2026-05-01-D003,E1,packet_014181e57a,R3,A4,Summit,C1,3,Lantern,C2,4,Summit,C1,Summit is more concise and structurally controlled while preserving the major mechanistic and uncertainty points.
run-2026-05-01-D003,E1,packet_014181e57a,R3,A4,Summit,C1,3,Meadow,C3,5,Summit,C1,"Summit is slightly stronger on evidentiary boundaries and avoiding overstatement, despite Meadow's solid structure."
run-2026-05-01-D003,E1,packet_014181e57a,R3,A4,Lantern,C2,4,Meadow,C3,5,Meadow,C3,"Meadow follows a clearer scientific article structure and is more constraint-aligned, while Lantern reads more like an interpretive review essay."
run-2026-05-01-D003,E1,packet_0a39545567,R1,A2,Ridge,C2,1,Fjord,C3,2,Fjord,C3,Fjord gives essentially the same scientific content with clearer article structure and better economy.
run-2026-05-01-D003,E1,packet_0a39545567,R1,A2,Ridge,C2,1,Tundra,C4,3,Ridge,C2,"Ridge is more cohesive and explanatory, while Tundra is more procedural and dense."
run-2026-05-01-D003,E1,packet_0a39545567,R1,A2,Ridge,C2,1,Juniper,C5,4,Ridge,C2,Ridge is more complete and better calibrated around the mechanism and disease caveats.
run-2026-05-01-D003,E1,packet_0a39545567,R1,A2,Ridge,C2,1,Amber,C1,5,Amber,C1,Amber preserves the key science with much better concision and target fit.
run-2026-05-01-D003,E1,packet_0a39545567,R1,A2,Fjord,C3,2,Tundra,C4,3,Fjord,C3,Fjord has stronger reader orientation and a smoother results-to-discussion structure.
run-2026-05-01-D003,E1,packet_0a39545567,R1,A2,Fjord,C3,2,Juniper,C5,4,Fjord,C3,Fjord is more precise and comprehensive while maintaining better uncertainty framing.
run-2026-05-01-D003,E1,packet_0a39545567,R1,A2,Fjord,C3,2,Amber,C1,5,Amber,C1,"Amber is more concise and equally faithful, making it the stronger article for the specified target."
run-2026-05-01-D003,E1,packet_0a39545567,R1,A2,Tundra,C4,3,Juniper,C5,4,Tundra,C4,Tundra is more scientifically complete and more consistently cautious despite weaker readability.
run-2026-05-01-D003,E1,packet_0a39545567,R1,A2,Tundra,C4,3,Amber,C1,5,Amber,C1,"Amber is clearer, shorter, and more article-like while retaining the essential evidence."
run-2026-05-01-D003,E1,packet_0a39545567,R1,A2,Juniper,C5,4,Amber,C1,5,Amber,C1,Amber is more tightly bounded to the dossier and more efficient without sacrificing key details.
run-2026-05-01-D003,E1,packet_15a373ed0f,R1,A1,Amber,C1,1,Ridge,C2,2,Amber,C1,Amber has equally strong fidelity with clearer sectioning and slightly more explicit preservation of mechanistic and disease caveats.
run-2026-05-01-D003,E1,packet_15a373ed0f,R1,A1,Amber,C1,1,Fjord,C3,3,Amber,C1,Amber provides fuller synthesis and reader orientation while retaining the same high level of factual accuracy and uncertainty control.
run-2026-05-01-D003,E1,packet_15a373ed0f,R1,A1,Amber,C1,1,Tundra,C4,4,Amber,C1,Amber avoids the small unsupported background additions present in Tundra and gives a more polished integrated account.
run-2026-05-01-D003,E1,packet_15a373ed0f,R1,A1,Amber,C1,1,Juniper,C5,5,Amber,C1,Amber is more strictly dossier-bound and handles disease and repair limitations more carefully than Juniper.
run-2026-05-01-D003,E1,packet_15a373ed0f,R1,A1,Ridge,C2,2,Fjord,C3,3,Ridge,C2,"Ridge is more cohesive and explanatory, although Fjord has stronger visible sectioning."
run-2026-05-01-D003,E1,packet_15a373ed0f,R1,A1,Ridge,C2,2,Tundra,C4,4,Ridge,C2,"Ridge has cleaner fidelity and smoother synthesis, while Tundra includes minor unsupported framing and a more procedural structure."
