run_id,evaluator_id,packet_id,replicate_id,arrangement_id,position,nickname,condition_id,source_output_path,word_count,scientific_fidelity,article_structure,reader_orientation,cohesion_coherence,evidence_uncertainty,style_readability,constraint_following,total_score,rank,one_sentence_justification
run-2026-05-01-D002,E1,packet_0d8c567b59,R3,A4,1,Quartz,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R3.md,1770,20,15,15,19,15,9,5,98,1,"Most complete and best structured article, with excellent fidelity and careful limits on APC cleavage, in vivo repair and disease claims."
run-2026-05-01-D002,E1,packet_0d8c567b59,R3,A4,2,Ivory,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R3.md,1691,20,14,15,19,15,9,5,97,2,"Exceptionally faithful and clear, preserving key quantitative details and caveats with only slightly less formal article scaffolding than Quartz."
run-2026-05-01-D002,E1,packet_0d8c567b59,R3,A4,5,Meadow,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R3.md,1565,19,14,14,19,15,9,5,95,3,"Strong integrated account with good methods orientation and uncertainty handling, though a little less polished and reader-guiding than the top two."
run-2026-05-01-D002,E1,packet_0d8c567b59,R3,A4,3,Summit,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R3.md,1818,19,13,14,19,15,9,5,94,4,Cohesive and accurate narrative that handles caveats well but provides somewhat less formal structure and methodological orientation.
run-2026-05-01-D002,E1,packet_0d8c567b59,R3,A4,4,Lantern,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R3.md,1540,18,12,13,18,15,9,5,90,5,"Accurate and readable coverage of the main claims, but less complete and less formally organized than the other articles."
run-2026-05-01-D002,E1,packet_17ba1bd0a7,R2,A1,5,Ember,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R2.md,1661,19,13,14,18,14,9,5,92,1,"Best balance of accurate synthesis, cautious interpretation, readable flow, and target-length discipline despite minor heading awkwardness."
run-2026-05-01-D002,E1,packet_17ba1bd0a7,R2,A1,4,Granite,C4,comparing/authoring_results/run-2026-05-01-D002/C4_R2.md,1619,19,13,14,18,14,9,4,91,2,"Concise and faithful article with strong mechanistic flow, slightly weakened by an extra methods summary and a little less detail than the top entry."
run-2026-05-01-D002,E1,packet_17ba1bd0a7,R2,A1,2,Vale,C2,comparing/authoring_results/run-2026-05-01-D002/C2_R2.md,1802,19,14,14,17,14,9,3,90,3,"Highly accurate and well organized with excellent uncertainty handling, but somewhat over-expanded relative to the requested article length."
run-2026-05-01-D002,E1,packet_17ba1bd0a7,R2,A1,3,Dawn,C3,comparing/authoring_results/run-2026-05-01-D002/C3_R2.md,1802,18,13,14,18,14,9,3,89,4,"Strong, coherent, and careful overall, with minor overstatement in the abstract and less length discipline than the leading articles."
run-2026-05-01-D002,E1,packet_17ba1bd0a7,R2,A1,1,Zephyr,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R2.md,1791,19,12,14,18,15,8,2,88,5,"Exceptionally complete and cautious scientifically, but too long and results-heavy for the target article constraint."
run-2026-05-01-D002,E1,packet_1cfba51daa,R3,A5,2,Summit,C1,comparing/authoring_results/run-2026-05-01-D002/C1_R3.md,1818,20,14,15,20,15,10,5,99,1,"Best balance of fidelity, uncertainty control, coherent scientific narrative, and readable article structure."
run-2026-05-01-D002,E1,packet_1cfba51daa,R3,A5,1,Ivory,C5,comparing/authoring_results/run-2026-05-01-D002/C5_R3.md,1691,20,15,15,19,15,9,4,97,2,"Exceptionally complete and faithful, but somewhat overlong and dense relative to the target article format."
