evaluator_id,packet_id,replicate_id,arrangement_id,position,nickname,condition_id,source_output_path,word_count
E1,packet_15a373ed0f,R1,A1,1,Amber,C1,comparing/authoring_results/run-2026-05-01-D003/C1_R1.md,1605
E1,packet_15a373ed0f,R1,A1,2,Ridge,C2,comparing/authoring_results/run-2026-05-01-D003/C2_R1.md,1562
E1,packet_15a373ed0f,R1,A1,3,Fjord,C3,comparing/authoring_results/run-2026-05-01-D003/C3_R1.md,1571
E1,packet_15a373ed0f,R1,A1,4,Tundra,C4,comparing/authoring_results/run-2026-05-01-D003/C4_R1.md,1790
E1,packet_15a373ed0f,R1,A1,5,Juniper,C5,comparing/authoring_results/run-2026-05-01-D003/C5_R1.md,1797
E1,packet_0a39545567,R1,A2,1,Ridge,C2,comparing/authoring_results/run-2026-05-01-D003/C2_R1.md,1562
E1,packet_0a39545567,R1,A2,2,Fjord,C3,comparing/authoring_results/run-2026-05-01-D003/C3_R1.md,1571
E1,packet_0a39545567,R1,A2,3,Tundra,C4,comparing/authoring_results/run-2026-05-01-D003/C4_R1.md,1790
E1,packet_0a39545567,R1,A2,4,Juniper,C5,comparing/authoring_results/run-2026-05-01-D003/C5_R1.md,1797
E1,packet_0a39545567,R1,A2,5,Amber,C1,comparing/authoring_results/run-2026-05-01-D003/C1_R1.md,1605
E1,packet_fb08c0b369,R1,A3,1,Fjord,C3,comparing/authoring_results/run-2026-05-01-D003/C3_R1.md,1571
E1,packet_fb08c0b369,R1,A3,2,Tundra,C4,comparing/authoring_results/run-2026-05-01-D003/C4_R1.md,1790
E1,packet_fb08c0b369,R1,A3,3,Juniper,C5,comparing/authoring_results/run-2026-05-01-D003/C5_R1.md,1797
E1,packet_fb08c0b369,R1,A3,4,Amber,C1,comparing/authoring_results/run-2026-05-01-D003/C1_R1.md,1605
E1,packet_fb08c0b369,R1,A3,5,Ridge,C2,comparing/authoring_results/run-2026-05-01-D003/C2_R1.md,1562
E1,packet_4c24b0d637,R1,A4,1,Tundra,C4,comparing/authoring_results/run-2026-05-01-D003/C4_R1.md,1790
E1,packet_4c24b0d637,R1,A4,2,Juniper,C5,comparing/authoring_results/run-2026-05-01-D003/C5_R1.md,1797
E1,packet_4c24b0d637,R1,A4,3,Amber,C1,comparing/authoring_results/run-2026-05-01-D003/C1_R1.md,1605
E1,packet_4c24b0d637,R1,A4,4,Ridge,C2,comparing/authoring_results/run-2026-05-01-D003/C2_R1.md,1562
E1,packet_4c24b0d637,R1,A4,5,Fjord,C3,comparing/authoring_results/run-2026-05-01-D003/C3_R1.md,1571
E1,packet_81e599fed7,R1,A5,1,Juniper,C5,comparing/authoring_results/run-2026-05-01-D003/C5_R1.md,1797
E1,packet_81e599fed7,R1,A5,2,Amber,C1,comparing/authoring_results/run-2026-05-01-D003/C1_R1.md,1605
E1,packet_81e599fed7,R1,A5,3,Ridge,C2,comparing/authoring_results/run-2026-05-01-D003/C2_R1.md,1562
E1,packet_81e599fed7,R1,A5,4,Fjord,C3,comparing/authoring_results/run-2026-05-01-D003/C3_R1.md,1571
E1,packet_81e599fed7,R1,A5,5,Tundra,C4,comparing/authoring_results/run-2026-05-01-D003/C4_R1.md,1790
E1,packet_35bb698369,R2,A1,1,Zephyr,C1,comparing/authoring_results/run-2026-05-01-D003/C1_R2.md,1822
E1,packet_35bb698369,R2,A1,2,Vale,C2,comparing/authoring_results/run-2026-05-01-D003/C2_R2.md,1576
E1,packet_35bb698369,R2,A1,3,Dawn,C3,comparing/authoring_results/run-2026-05-01-D003/C3_R2.md,1792
E1,packet_35bb698369,R2,A1,4,Granite,C4,comparing/authoring_results/run-2026-05-01-D003/C4_R2.md,1811
E1,packet_35bb698369,R2,A1,5,Ember,C5,comparing/authoring_results/run-2026-05-01-D003/C5_R2.md,1798
E1,packet_919bf1e39e,R2,A2,1,Vale,C2,comparing/authoring_results/run-2026-05-01-D003/C2_R2.md,1576
E1,packet_919bf1e39e,R2,A2,2,Dawn,C3,comparing/authoring_results/run-2026-05-01-D003/C3_R2.md,1792
E1,packet_919bf1e39e,R2,A2,3,Granite,C4,comparing/authoring_results/run-2026-05-01-D003/C4_R2.md,1811
E1,packet_919bf1e39e,R2,A2,4,Ember,C5,comparing/authoring_results/run-2026-05-01-D003/C5_R2.md,1798
E1,packet_919bf1e39e,R2,A2,5,Zephyr,C1,comparing/authoring_results/run-2026-05-01-D003/C1_R2.md,1822
E1,packet_8f76506a1a,R2,A3,1,Dawn,C3,comparing/authoring_results/run-2026-05-01-D003/C3_R2.md,1792
E1,packet_8f76506a1a,R2,A3,2,Granite,C4,comparing/authoring_results/run-2026-05-01-D003/C4_R2.md,1811
E1,packet_8f76506a1a,R2,A3,3,Ember,C5,comparing/authoring_results/run-2026-05-01-D003/C5_R2.md,1798
E1,packet_8f76506a1a,R2,A3,4,Zephyr,C1,comparing/authoring_results/run-2026-05-01-D003/C1_R2.md,1822
E1,packet_8f76506a1a,R2,A3,5,Vale,C2,comparing/authoring_results/run-2026-05-01-D003/C2_R2.md,1576
E1,packet_3831946363,R2,A4,1,Granite,C4,comparing/authoring_results/run-2026-05-01-D003/C4_R2.md,1811
E1,packet_3831946363,R2,A4,2,Ember,C5,comparing/authoring_results/run-2026-05-01-D003/C5_R2.md,1798
E1,packet_3831946363,R2,A4,3,Zephyr,C1,comparing/authoring_results/run-2026-05-01-D003/C1_R2.md,1822
E1,packet_3831946363,R2,A4,4,Vale,C2,comparing/authoring_results/run-2026-05-01-D003/C2_R2.md,1576
E1,packet_3831946363,R2,A4,5,Dawn,C3,comparing/authoring_results/run-2026-05-01-D003/C3_R2.md,1792
