evaluator_id,packet_id,prompt_path,scores_path,pairwise_path
E1,packet_15a373ed0f,comparing/prompts/generated/run-2026-05-01-D003/evaluation_arrangement55/E1/packet_15a373ed0f.txt,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_15a373ed0f_scores.tsv,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_15a373ed0f_pairwise.tsv
E1,packet_0a39545567,comparing/prompts/generated/run-2026-05-01-D003/evaluation_arrangement55/E1/packet_0a39545567.txt,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_0a39545567_scores.tsv,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_0a39545567_pairwise.tsv
E1,packet_fb08c0b369,comparing/prompts/generated/run-2026-05-01-D003/evaluation_arrangement55/E1/packet_fb08c0b369.txt,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_fb08c0b369_scores.tsv,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_fb08c0b369_pairwise.tsv
E1,packet_4c24b0d637,comparing/prompts/generated/run-2026-05-01-D003/evaluation_arrangement55/E1/packet_4c24b0d637.txt,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_4c24b0d637_scores.tsv,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_4c24b0d637_pairwise.tsv
E1,packet_81e599fed7,comparing/prompts/generated/run-2026-05-01-D003/evaluation_arrangement55/E1/packet_81e599fed7.txt,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_81e599fed7_scores.tsv,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_81e599fed7_pairwise.tsv
E1,packet_35bb698369,comparing/prompts/generated/run-2026-05-01-D003/evaluation_arrangement55/E1/packet_35bb698369.txt,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_35bb698369_scores.tsv,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_35bb698369_pairwise.tsv
E1,packet_919bf1e39e,comparing/prompts/generated/run-2026-05-01-D003/evaluation_arrangement55/E1/packet_919bf1e39e.txt,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_919bf1e39e_scores.tsv,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_919bf1e39e_pairwise.tsv
E1,packet_8f76506a1a,comparing/prompts/generated/run-2026-05-01-D003/evaluation_arrangement55/E1/packet_8f76506a1a.txt,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_8f76506a1a_scores.tsv,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_8f76506a1a_pairwise.tsv
E1,packet_3831946363,comparing/prompts/generated/run-2026-05-01-D003/evaluation_arrangement55/E1/packet_3831946363.txt,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_3831946363_scores.tsv,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_3831946363_pairwise.tsv
E1,packet_3560c789fc,comparing/prompts/generated/run-2026-05-01-D003/evaluation_arrangement55/E1/packet_3560c789fc.txt,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_3560c789fc_scores.tsv,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_3560c789fc_pairwise.tsv
E1,packet_9a2f8edd82,comparing/prompts/generated/run-2026-05-01-D003/evaluation_arrangement55/E1/packet_9a2f8edd82.txt,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_9a2f8edd82_scores.tsv,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_9a2f8edd82_pairwise.tsv
E1,packet_8712eae61f,comparing/prompts/generated/run-2026-05-01-D003/evaluation_arrangement55/E1/packet_8712eae61f.txt,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_8712eae61f_scores.tsv,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_8712eae61f_pairwise.tsv
E1,packet_40178430ce,comparing/prompts/generated/run-2026-05-01-D003/evaluation_arrangement55/E1/packet_40178430ce.txt,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_40178430ce_scores.tsv,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_40178430ce_pairwise.tsv
E1,packet_014181e57a,comparing/prompts/generated/run-2026-05-01-D003/evaluation_arrangement55/E1/packet_014181e57a.txt,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_014181e57a_scores.tsv,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_014181e57a_pairwise.tsv
E1,packet_72c9fd8a21,comparing/prompts/generated/run-2026-05-01-D003/evaluation_arrangement55/E1/packet_72c9fd8a21.txt,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_72c9fd8a21_scores.tsv,comparing/evaluation_results/run-2026-05-01-D003/arrangement55/raw/packet_72c9fd8a21_pairwise.tsv
