evaluator_id,packet_id,prompt_path,scores_path,pairwise_path
E1,packet_9d5f76d5f3,comparing/prompts/generated/run-2026-05-01-D002/evaluation_arrangement55/E1/packet_9d5f76d5f3.txt,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_9d5f76d5f3_scores.tsv,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_9d5f76d5f3_pairwise.tsv
E1,packet_7f8c76a2df,comparing/prompts/generated/run-2026-05-01-D002/evaluation_arrangement55/E1/packet_7f8c76a2df.txt,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_7f8c76a2df_scores.tsv,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_7f8c76a2df_pairwise.tsv
E1,packet_673addee4f,comparing/prompts/generated/run-2026-05-01-D002/evaluation_arrangement55/E1/packet_673addee4f.txt,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_673addee4f_scores.tsv,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_673addee4f_pairwise.tsv
E1,packet_6da0b5da8f,comparing/prompts/generated/run-2026-05-01-D002/evaluation_arrangement55/E1/packet_6da0b5da8f.txt,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_6da0b5da8f_scores.tsv,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_6da0b5da8f_pairwise.tsv
E1,packet_d1ee18c91a,comparing/prompts/generated/run-2026-05-01-D002/evaluation_arrangement55/E1/packet_d1ee18c91a.txt,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_d1ee18c91a_scores.tsv,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_d1ee18c91a_pairwise.tsv
E1,packet_17ba1bd0a7,comparing/prompts/generated/run-2026-05-01-D002/evaluation_arrangement55/E1/packet_17ba1bd0a7.txt,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_17ba1bd0a7_scores.tsv,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_17ba1bd0a7_pairwise.tsv
E1,packet_2b4a406b49,comparing/prompts/generated/run-2026-05-01-D002/evaluation_arrangement55/E1/packet_2b4a406b49.txt,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_2b4a406b49_scores.tsv,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_2b4a406b49_pairwise.tsv
E1,packet_c11b2acb3f,comparing/prompts/generated/run-2026-05-01-D002/evaluation_arrangement55/E1/packet_c11b2acb3f.txt,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_c11b2acb3f_scores.tsv,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_c11b2acb3f_pairwise.tsv
E1,packet_2fba4c53cc,comparing/prompts/generated/run-2026-05-01-D002/evaluation_arrangement55/E1/packet_2fba4c53cc.txt,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_2fba4c53cc_scores.tsv,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_2fba4c53cc_pairwise.tsv
E1,packet_b01a49a839,comparing/prompts/generated/run-2026-05-01-D002/evaluation_arrangement55/E1/packet_b01a49a839.txt,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_b01a49a839_scores.tsv,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_b01a49a839_pairwise.tsv
E1,packet_561af11b5e,comparing/prompts/generated/run-2026-05-01-D002/evaluation_arrangement55/E1/packet_561af11b5e.txt,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_561af11b5e_scores.tsv,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_561af11b5e_pairwise.tsv
E1,packet_8f2288ad73,comparing/prompts/generated/run-2026-05-01-D002/evaluation_arrangement55/E1/packet_8f2288ad73.txt,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_8f2288ad73_scores.tsv,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_8f2288ad73_pairwise.tsv
E1,packet_9f2c5e29c0,comparing/prompts/generated/run-2026-05-01-D002/evaluation_arrangement55/E1/packet_9f2c5e29c0.txt,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_9f2c5e29c0_scores.tsv,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_9f2c5e29c0_pairwise.tsv
E1,packet_0d8c567b59,comparing/prompts/generated/run-2026-05-01-D002/evaluation_arrangement55/E1/packet_0d8c567b59.txt,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_0d8c567b59_scores.tsv,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_0d8c567b59_pairwise.tsv
E1,packet_1cfba51daa,comparing/prompts/generated/run-2026-05-01-D002/evaluation_arrangement55/E1/packet_1cfba51daa.txt,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_1cfba51daa_scores.tsv,comparing/evaluation_results/run-2026-05-01-D002/arrangement55/raw/packet_1cfba51daa_pairwise.tsv
