evaluator_id	article_a	article_b	preferred_article	reason
E1	Article_E	Article_J	Article_J	Preferred Article_J because it offers more complete integration of mechanism, localization, and cautious disease interpretation than Article_E while preserving dossier fidelity.
E1	Article_E	Article_C	Article_E	Preferred Article_E because it offers clearer mechanistic progression and stronger synthesis than Article_C while preserving dossier fidelity.
E1	Article_E	Article_L	Article_E	Preferred Article_E because it offers clearer mechanistic progression and stronger synthesis than Article_L while preserving dossier fidelity.
E1	Article_E	Article_G	Article_E	Preferred Article_E because it offers clearer mechanistic progression and stronger synthesis than Article_G while preserving dossier fidelity.
E1	Article_E	Article_N	Article_E	Preferred Article_E because it offers clearer mechanistic progression and stronger synthesis than Article_N while preserving dossier fidelity.
E1	Article_E	Article_A	Article_E	Preferred Article_E because it offers clearer mechanistic progression and stronger synthesis than Article_A while preserving dossier fidelity.
E1	Article_E	Article_F	Article_E	Preferred Article_E because it offers clearer mechanistic progression and stronger synthesis than Article_F while preserving dossier fidelity.
E1	Article_E	Article_H	Article_E	Preferred Article_E because it offers clearer mechanistic progression and stronger synthesis than Article_H while preserving dossier fidelity.
E1	Article_E	Article_I	Article_E	Preferred Article_E because it offers clearer mechanistic progression and stronger synthesis than Article_I while preserving dossier fidelity.
E1	Article_E	Article_O	Article_E	Preferred Article_E because it offers clearer mechanistic progression and stronger synthesis than Article_O while preserving dossier fidelity.
E1	Article_E	Article_D	Article_E	Preferred Article_E because it offers clearer mechanistic progression and stronger synthesis than Article_D while preserving dossier fidelity.
E1	Article_E	Article_K	Article_E	Preferred Article_E because it offers clearer mechanistic progression and stronger synthesis than Article_K while preserving dossier fidelity.
E1	Article_E	Article_M	Article_E	Preferred Article_E because it offers clearer mechanistic progression and stronger synthesis than Article_M while preserving dossier fidelity.
E1	Article_E	Article_B	Article_E	Preferred Article_E because it offers clearer mechanistic progression and stronger synthesis than Article_B while preserving dossier fidelity.
E1	Article_J	Article_C	Article_J	Preferred Article_J because it offers more complete integration of mechanism, localization, and cautious disease interpretation than Article_C while preserving dossier fidelity.
E1	Article_J	Article_L	Article_J	Preferred Article_J because it offers more complete integration of mechanism, localization, and cautious disease interpretation than Article_L while preserving dossier fidelity.
E1	Article_J	Article_G	Article_J	Preferred Article_J because it offers more complete integration of mechanism, localization, and cautious disease interpretation than Article_G while preserving dossier fidelity.
E1	Article_J	Article_N	Article_J	Preferred Article_J because it offers more complete integration of mechanism, localization, and cautious disease interpretation than Article_N while preserving dossier fidelity.
E1	Article_J	Article_A	Article_J	Preferred Article_J because it offers more complete integration of mechanism, localization, and cautious disease interpretation than Article_A while preserving dossier fidelity.
E1	Article_J	Article_F	Article_J	Preferred Article_J because it offers more complete integration of mechanism, localization, and cautious disease interpretation than Article_F while preserving dossier fidelity.
E1	Article_J	Article_H	Article_J	Preferred Article_J because it offers more complete integration of mechanism, localization, and cautious disease interpretation than Article_H while preserving dossier fidelity.
E1	Article_J	Article_I	Article_J	Preferred Article_J because it offers more complete integration of mechanism, localization, and cautious disease interpretation than Article_I while preserving dossier fidelity.
E1	Article_J	Article_O	Article_J	Preferred Article_J because it offers more complete integration of mechanism, localization, and cautious disease interpretation than Article_O while preserving dossier fidelity.
E1	Article_J	Article_D	Article_J	Preferred Article_J because it offers more complete integration of mechanism, localization, and cautious disease interpretation than Article_D while preserving dossier fidelity.
E1	Article_J	Article_K	Article_J	Preferred Article_J because it offers more complete integration of mechanism, localization, and cautious disease interpretation than Article_K while preserving dossier fidelity.
E1	Article_J	Article_M	Article_J	Preferred Article_J because it offers more complete integration of mechanism, localization, and cautious disease interpretation than Article_M while preserving dossier fidelity.
E1	Article_J	Article_B	Article_J	Preferred Article_J because it offers more complete integration of mechanism, localization, and cautious disease interpretation than Article_B while preserving dossier fidelity.
E1	Article_C	Article_L	Article_C	Preferred Article_C because it offers stronger organization and fuller evidence chain than Article_L while preserving dossier fidelity.
E1	Article_C	Article_G	Article_C	Preferred Article_C because it offers stronger organization and fuller evidence chain than Article_G while preserving dossier fidelity.
E1	Article_C	Article_N	Article_C	Preferred Article_C because it offers stronger organization and fuller evidence chain than Article_N while preserving dossier fidelity.
E1	Article_C	Article_A	Article_C	Preferred Article_C because it offers stronger organization and fuller evidence chain than Article_A while preserving dossier fidelity.
E1	Article_C	Article_F	Article_C	Preferred Article_C because it offers stronger organization and fuller evidence chain than Article_F while preserving dossier fidelity.
E1	Article_C	Article_H	Article_C	Preferred Article_C because it offers stronger organization and fuller evidence chain than Article_H while preserving dossier fidelity.
E1	Article_C	Article_I	Article_C	Preferred Article_C because it offers stronger organization and fuller evidence chain than Article_I while preserving dossier fidelity.
E1	Article_C	Article_O	Article_C	Preferred Article_C because it offers stronger organization and fuller evidence chain than Article_O while preserving dossier fidelity.
E1	Article_C	Article_D	Article_C	Preferred Article_C because it offers stronger organization and fuller evidence chain than Article_D while preserving dossier fidelity.
E1	Article_C	Article_K	Article_C	Preferred Article_C because it offers stronger organization and fuller evidence chain than Article_K while preserving dossier fidelity.
E1	Article_C	Article_M	Article_C	Preferred Article_C because it offers stronger organization and fuller evidence chain than Article_M while preserving dossier fidelity.
E1	Article_C	Article_B	Article_C	Preferred Article_C because it offers stronger organization and fuller evidence chain than Article_B while preserving dossier fidelity.
E1	Article_L	Article_G	Article_L	Preferred Article_L because it offers better reader orientation and more complete core mechanism than Article_G while preserving dossier fidelity.
E1	Article_L	Article_N	Article_L	Preferred Article_L because it offers better reader orientation and more complete core mechanism than Article_N while preserving dossier fidelity.
