evaluator_id	article_a	article_b	preferred_article	reason
E3	Article_K	Article_M	Article_M	Article_M had the stronger overall balance of dossier fidelity, complete mechanism coverage, reader orientation, and disciplined caveats.
E3	Article_K	Article_F	Article_K	Article_K had the stronger overall balance of dossier fidelity, complete mechanism coverage, reader orientation, and disciplined caveats.
E3	Article_K	Article_N	Article_K	Article_K had the stronger overall balance of dossier fidelity, complete mechanism coverage, reader orientation, and disciplined caveats.
E3	Article_K	Article_L	Article_K	Article_K had the stronger overall balance of dossier fidelity, complete mechanism coverage, reader orientation, and disciplined caveats.
E3	Article_K	Article_G	Article_K	Article_K had the stronger overall balance of dossier fidelity, complete mechanism coverage, reader orientation, and disciplined caveats.
E3	Article_K	Article_B	Article_K	Article_K had the stronger overall balance of dossier fidelity, complete mechanism coverage, reader orientation, and disciplined caveats.
E3	Article_K	Article_I	Article_K	Article_K had the stronger overall balance of dossier fidelity, complete mechanism coverage, reader orientation, and disciplined caveats.
E3	Article_K	Article_O	Article_K	Article_K had the stronger overall balance of dossier fidelity, complete mechanism coverage, reader orientation, and disciplined caveats.
E3	Article_K	Article_H	Article_K	Article_K had the stronger overall balance of dossier fidelity, complete mechanism coverage, reader orientation, and disciplined caveats.
E3	Article_K	Article_E	Article_K	Article_K had the stronger overall balance of dossier fidelity, complete mechanism coverage, reader orientation, and disciplined caveats.
E3	Article_K	Article_J	Article_K	Article_K had the stronger overall balance of dossier fidelity, complete mechanism coverage, reader orientation, and disciplined caveats.
E3	Article_K	Article_C	Article_K	Article_K had the stronger overall balance of dossier fidelity, complete mechanism coverage, reader orientation, and disciplined caveats.
E3	Article_K	Article_D	Article_K	Article_K had the stronger overall balance of dossier fidelity, complete mechanism coverage, reader orientation, and disciplined caveats.
E3	Article_K	Article_A	Article_K	Article_K had the stronger overall balance of dossier fidelity, complete mechanism coverage, reader orientation, and disciplined caveats.
E3	Article_M	Article_F	Article_M	Article_M had the stronger overall balance of dossier fidelity, complete mechanism coverage, reader orientation, and disciplined caveats.
E3	Article_M	Article_N	Article_M	Article_M had the stronger overall balance of dossier fidelity, complete mechanism coverage, reader orientation, and disciplined caveats.
