evaluator_id	article_id	scientific_fidelity	article_structure	reader_orientation	cohesion_coherence	evidence_uncertainty	style_readability	constraint_following	total_score	rank	one_sentence_justification
E2	Article_D	20	15	15	19	15	9	3	96	3	Very complete and cautious with strong source discipline, though longer and denser than the target concise article.
E2	Article_H	20	15	15	20	14	10	4	98	1	Best balance of full dossier fidelity, clear mechanistic progression, reader scaffolding, and appropriately cautious disease interpretation.
E2	Article_M	20	15	15	19	14	9	3	95	4	Comprehensive and faithful with strong result sequencing, but somewhat dense and likely over the word target.
E2	Article_O	20	15	15	19	14	10	4	97	2	Excellent coverage and orientation with especially clear pathway explanation, losing only a little precision and completeness versus the strongest article.
E2	Article_I	19	14	14	18	14	9	3	91	8	Clear and cautious with good mechanism, but it omits or compresses several supporting details from the dossier.
E2	Article_C	20	15	14	19	14	9	3	94	5	Faithful and well structured with good mechanistic flow, but slightly less reader scaffolding and constraint discipline than the top entries.
E2	Article_F	20	15	14	18	14	9	3	93	6	Accurate and complete with clear sections, though the prose is more compressed and less cohesive than stronger versions.
E2	Article_N	20	14	14	17	13	9	3	90	9	Accurate and readable with a good model, but structure and uncertainty handling are a bit less developed.
E2	Article_E	20	15	14	18	14	8	3	92	7	Scientifically faithful and well organized, but readability is reduced by dense result packing and limited synthesis in places.
E2	Article_B	20	14	14	17	13	8	3	89	10	Strong fidelity and useful orientation, but the article is more compressed and less polished in cohesion than higher-ranked entries.
E2	Article_A	18	13	13	16	11	8	3	82	15	Readable and broadly accurate, but it compresses important evidence, caveats, and disease context too much for the assigned article goal.
E2	Article_L	19	14	14	17	13	8	3	88	11	Mostly faithful and coherent, but includes a few looser phrasings and less complete disease and limitation handling.
E2	Article_G	19	14	13	17	12	9	3	87	12	Generally accurate, but the abstract and discussion underdevelop reader framing and disease uncertainty relative to stronger articles.
E2	Article_K	19	14	13	17	12	8	3	86	13	Covers the main mechanism but is less precise in uncertainty framing and occasionally overstates substrate language.
E2	Article_J	19	14	13	16	12	8	3	85	14	Faithful on the core mechanism but less cohesive and less complete on expression and disease context than most alternatives.
